accession	message	sample_name	sample_title	bioproject_accession	organism	strain	isolate	breed	cultivar	ecotype	age	dev_stage	collection_date	geo_loc_name	sex	tissue	biomaterial_provider	birth_date	birth_location	breeding_history	breeding_method	cell_line	cell_subtype	cell_type	collected_by	culture_collection	death_date	disease	disease_stage	genotype	growth_protocol	health_state	isolation_source	lat_lon	phenotype	sample_type	specimen_voucher	store_cond	stud_book_number	treatment	description	individual
SAMN38084331	Successfully loaded	Wagyu-21			Bos taurus	not collected	not collected	Wagyu	not collected	not collected	not collected	not collected	missing	missing	male	blood									Lulu Shi\,Mingyue Hu et\,al.																	Wagyu1
SAMN38084332	Successfully loaded	Wagyu-22			Bos taurus	not collected	not collected	Wagyu	not collected	not collected	not collected	not collected	missing	missing	male	blood									Lulu Shi\,Mingyue Hu et\,al.																	Wagyu2
SAMN38084333	Successfully loaded	Wagyu-23			Bos taurus	not collected	not collected	Wagyu	not collected	not collected	not collected	not collected	missing	missing	male	blood									Lulu Shi\,Mingyue Hu et\,al.																	Wagyu3
SAMN38084334	Successfully loaded	Wagyu-24			Bos taurus	not collected	not collected	Wagyu	not collected	not collected	not collected	not collected	missing	missing	male	blood									Lulu Shi\,Mingyue Hu et\,al.																	Wagyu4
SAMN38084335	Successfully loaded	Wagyu-25			Bos taurus	not collected	not collected	Wagyu	not collected	not collected	not collected	not collected	missing	missing	male	blood									Lulu Shi\,Mingyue Hu et\,al.																	Wagyu5
SAMN38084336	Successfully loaded	Wagyu-26			Bos taurus	not collected	not collected	Wagyu	not collected	not collected	not collected	not collected	missing	missing	male	blood									Lulu Shi\,Mingyue Hu et\,al.																	Wagyu6
SAMN38084337	Successfully loaded	Wagyu-27			Bos taurus	not collected	not collected	Wagyu	not collected	not collected	not collected	not collected	missing	missing	male	blood									Lulu Shi\,Mingyue Hu et\,al.																	Wagyu7
SAMN38084338	Successfully loaded	Wagyu-28			Bos taurus	not collected	not collected	Wagyu	not collected	not collected	not collected	not collected	missing	missing	male	blood									Lulu Shi\,Mingyue Hu et\,al.																	Wagyu8
SAMN38084339	Successfully loaded	Wagyu-29			Bos taurus	not collected	not collected	Wagyu	not collected	not collected	not collected	not collected	missing	missing	male	blood									Lulu Shi\,Mingyue Hu et\,al.																	Wagyu9
SAMN38084340	Successfully loaded	Wagyu-30			Bos taurus	not collected	not collected	Wagyu	not collected	not collected	not collected	not collected	missing	missing	male	blood									Lulu Shi\,Mingyue Hu et\,al.																	Wagyu10
